k,total_count,success_count,success_rate,expected_path_match_count,expected_path_match_rate,avg_visited_count,avg_path_length,avg_time
2,3,0,0.0,0,0.0,3.0,0.0,9.63332907607158e-06
3,3,0,0.0,0,0.0,3.6666666666666665,0.0,8.800028202434381e-06
4,3,0,0.0,0,0.0,4.0,0.0,7.899982544283072e-06
5,3,0,0.0,0,0.0,4.0,0.0,8.566693092385927e-06
6,3,0,0.0,0,0.0,4.0,0.0,1.0933300169805685e-05
8,3,0,0.0,0,0.0,4.333333333333333,0.0,1.0666631472607454e-05
10,3,1,0.3333333333333333,1,0.3333333333333333,5.0,1.3333333333333333,1.2033308545748392e-05
12,3,1,0.3333333333333333,1,0.3333333333333333,5.666666666666667,1.3333333333333333,1.2366722027460733e-05
14,3,1,0.3333333333333333,1,0.3333333333333333,5.666666666666667,1.3333333333333333,1.5700003132224083e-05
16,3,2,0.6666666666666666,2,0.6666666666666666,6.333333333333333,2.6666666666666665,1.819998336335023e-05
18,3,2,0.6666666666666666,2,0.6666666666666666,6.333333333333333,2.6666666666666665,1.783335270980994e-05
20,3,3,1.0,3,1.0,7.333333333333333,4.0,1.4399954428275427e-05
22,3,3,1.0,3,1.0,7.333333333333333,4.0,1.416665812333425e-05
24,3,3,1.0,3,1.0,7.333333333333333,4.0,1.2600018332401911e-05
26,3,3,1.0,3,1.0,7.333333333333333,4.0,1.2400016809503237e-05
